epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,13714.8,0.87444,0.44555,0.0008,0.86878,0.78638,0.84861,0.62528,0.77689,0.46093,0.00137,0.000495125,0.000495125,0.000495125
63,13932.6,0.88102,0.43972,0.00077,0.84824,0.79768,0.84098,0.62135,0.78627,0.47367,0.00138,0.00048275,0.00048275,0.00048275
64,14151.5,0.8557,0.43364,0.0008,0.86521,0.78602,0.84467,0.62792,0.76677,0.45256,0.00134,0.000470375,0.000470375,0.000470375
65,14370.9,0.87454,0.43741,0.00078,0.86222,0.79145,0.84971,0.63479,0.75942,0.46887,0.00133,0.000458,0.000458,0.000458
66,14590.4,0.87376,0.43821,0.00078,0.85483,0.81231,0.84967,0.61949,0.77925,0.45888,0.00137,0.000445625,0.000445625,0.000445625
67,14813.4,0.87635,0.43066,0.00076,0.82921,0.82329,0.8451,0.6278,0.76447,0.45119,0.00134,0.00043325,0.00043325,0.00043325
68,15033.7,0.85786,0.4355,0.00079,0.83241,0.82433,0.84937,0.63262,0.76421,0.45264,0.00133,0.000420875,0.000420875,0.000420875
69,15251.6,0.84284,0.43524,0.00081,0.84231,0.82157,0.85188,0.63092,0.76987,0.44894,0.00138,0.0004085,0.0004085,0.0004085
70,15472.1,0.85525,0.43248,0.0008,0.83503,0.84326,0.84867,0.63282,0.76001,0.44696,0.00132,0.000396125,0.000396125,0.000396125
71,15694.9,0.8742,0.42108,0.00076,0.86418,0.79984,0.8495,0.63184,0.76101,0.44935,0.00133,0.00038375,0.00038375,0.00038375
72,15915.6,0.86835,0.42121,0.00077,0.88481,0.78378,0.85427,0.63636,0.76774,0.43777,0.00134,0.000371375,0.000371375,0.000371375
73,16138,0.85778,0.42104,0.0008,0.88217,0.79635,0.84823,0.63468,0.76525,0.43624,0.00133,0.000359,0.000359,0.000359
74,16363.7,0.87419,0.42323,0.00078,0.86966,0.80254,0.84733,0.62633,0.78546,0.45113,0.00141,0.000346625,0.000346625,0.000346625
75,16587.2,0.88557,0.42731,0.0008,0.8715,0.79821,0.84438,0.62279,0.77802,0.45111,0.00134,0.00033425,0.00033425,0.00033425
76,16809.9,0.87112,0.41896,0.0008,0.86684,0.80909,0.84983,0.62878,0.77057,0.44359,0.00131,0.000321875,0.000321875,0.000321875
77,17032.9,0.85455,0.41445,0.00077,0.85147,0.82917,0.85562,0.63412,0.75695,0.44031,0.00129,0.0003095,0.0003095,0.0003095
78,17256.7,0.85136,0.41616,0.00078,0.88045,0.80599,0.85838,0.6363,0.76024,0.43623,0.0013,0.000297125,0.000297125,0.000297125
79,17478.5,0.84253,0.40359,0.00075,0.84941,0.82897,0.86032,0.63773,0.7582,0.43386,0.00131,0.00028475,0.00028475,0.00028475
80,17699,0.83229,0.41145,0.00077,0.84446,0.8213,0.85894,0.63758,0.74745,0.43368,0.00129,0.000272375,0.000272375,0.000272375
81,17921.2,0.83125,0.39703,0.00076,0.88382,0.79152,0.85901,0.63727,0.74601,0.43232,0.00129,0.00026,0.00026,0.00026
82,18146.7,0.87793,0.41833,0.00076,0.85222,0.82288,0.86013,0.63064,0.77307,0.43894,0.00132,0.000247625,0.000247625,0.000247625
83,18371.9,0.84886,0.41537,0.00078,0.85208,0.83414,0.85555,0.6354,0.76537,0.44381,0.00132,0.00023525,0.00023525,0.00023525
84,18595.8,0.85813,0.41329,0.00076,0.86047,0.81824,0.85396,0.62982,0.77177,0.43183,0.00133,0.000222875,0.000222875,0.000222875
85,18818.9,0.85212,0.40594,0.00077,0.86011,0.81942,0.8589,0.63947,0.74882,0.42911,0.0013,0.0002105,0.0002105,0.0002105
86,19040.3,0.84221,0.39975,0.00076,0.84601,0.8341,0.85954,0.63583,0.75252,0.43828,0.0013,0.000198125,0.000198125,0.000198125
87,19259.3,0.84539,0.40723,0.00076,0.86516,0.82349,0.86432,0.64178,0.75245,0.4343,0.00132,0.00018575,0.00018575,0.00018575
88,19482,0.84242,0.40022,0.00077,0.88492,0.82056,0.86332,0.63802,0.74801,0.43375,0.00128,0.000173375,0.000173375,0.000173375
89,19704.6,0.82896,0.39782,0.00076,0.89054,0.8069,0.86107,0.64158,0.74848,0.43375,0.00128,0.000161,0.000161,0.000161
90,19927.6,0.84025,0.3986,0.00077,0.8798,0.82237,0.86158,0.63637,0.75379,0.43248,0.00132,0.000148625,0.000148625,0.000148625
91,20131.2,0.83425,0.41187,0.00086,0.8607,0.8243,0.84715,0.62484,0.78101,0.44387,0.00138,0.00013625,0.00013625,0.00013625
92,20334.5,0.82639,0.40457,0.00082,0.84564,0.808,0.84382,0.62212,0.78197,0.45311,0.00138,0.000123875,0.000123875,0.000123875
93,20538.3,0.79949,0.39312,0.00082,0.8691,0.81922,0.84679,0.62759,0.77212,0.43952,0.00136,0.0001115,0.0001115,0.0001115
94,20742.3,0.80865,0.38544,0.00081,0.86931,0.81949,0.84703,0.63064,0.77249,0.43797,0.00134,9.9125e-05,9.9125e-05,9.9125e-05
95,20946.8,0.78747,0.37566,0.00079,0.8691,0.82604,0.8528,0.635,0.76796,0.43384,0.00133,8.675e-05,8.675e-05,8.675e-05
96,21153.2,0.78686,0.37759,0.0008,0.87958,0.82245,0.85404,0.63564,0.76906,0.42981,0.00134,7.4375e-05,7.4375e-05,7.4375e-05
97,21360.4,0.78065,0.37319,0.0008,0.88257,0.8156,0.85356,0.63638,0.76759,0.42802,0.00133,6.2e-05,6.2e-05,6.2e-05
98,21567,0.79297,0.37918,0.00079,0.87968,0.8209,0.85315,0.63699,0.76605,0.43104,0.00132,4.9625e-05,4.9625e-05,4.9625e-05
99,21773.7,0.79322,0.37525,0.00078,0.88288,0.8189,0.85225,0.63356,0.76483,0.42803,0.00132,3.725e-05,3.725e-05,3.725e-05
100,21981.3,0.79039,0.37333,0.00078,0.8886,0.82027,0.8518,0.63446,0.76318,0.42837,0.00132,2.4875e-05,2.4875e-05,2.4875e-05
